Date,Description,Type,Amount,Current balance,Status
1/2/2023,OAKLAND PARKMOBILE PAY,Debit Card,-4.25,56.09,Posted
1/5/2023,From Savings - 3552,Deposit,750,806.09,Posted
1/6/2023,VENMO,Direct Payment,-750,56.09,Posted
1/13/2023,1435 Burlingame Ave,ATM,-403,253.09,Posted
1/13/2023,From Savings - 3552,Deposit,600,656.09,Posted
1/15/2023,To Emergency Fund Vault,Withdrawal,-253.09,0,Posted
1/25/2023,From Savings - 3552,Deposit,100,150,Posted
1/25/2023,From Savings - 3552,Deposit,50,50,Posted
1/27/2023,Roundup *CITY OF SM PARKPAYBYPH,Roundup,-0.4,144.2,Posted
1/27/2023,Roundup *PENINSULA JEWISH COMMU,Roundup,-0.2,144.6,Posted
1/27/2023,CITY OF SM PARKPAYBYPH,Debit Card,-0.4,144.8,Posted
1/27/2023,PENINSULA JEWISH COMMU,Debit Card,-4.8,145.2,Posted
1/28/2023,CITY OF BURLINGAME-PAR,Debit Card,-1,143.2,Posted
1/30/2023,CASH APP*CYANFACE,Debit Card,-50,93.2,Posted
1/31/2023,Interest earned,Interest Earned,0.19,93.39,Posted
2/4/2023,PENINSULA JEWISH COMMU,Debit Card,-73,20.39,Posted
2/5/2023,From Savings - 3552,Deposit,50,120.39,Posted
2/5/2023,From Savings - 3552,Deposit,50,70.39,Posted
2/7/2023,CASH APP*CYANFACE,Debit Card,-55,65.39,Posted
2/10/2023,CASH APP*KAIYA,Debit Card,-20,25.39,Posted
2/10/2023,CASH APP*ROBIN JOSEPH,Debit Card,-20,45.39,Posted
2/21/2023,CVS STORE #09940,ATM,-100,25.39,Posted
2/21/2023,From Savings - 3552,Deposit,100,125.39,Posted
2/28/2023,Interest earned,Interest Earned,0.08,25.47,Posted
3/1/2023,From Savings - 3552,Deposit,150,175.47,Posted
3/4/2023,PENINSULA JEWISH COMMU,Debit Card,-146,29.47,Posted
3/10/2023,From Savings - 3552,Deposit,800,829.47,Posted
3/13/2023,VENMO,Direct Payment,-772.3,57.17,Posted
3/17/2023,From Savings - 3552,Deposit,141.6,198.77,Posted
3/20/2023,CASH APP*CYANFACE,Debit Card,-15,42.17,Posted
3/20/2023,VENMO,Direct Payment,-141.6,57.17,Posted
3/31/2023,Interest earned,Interest Earned,0.27,42.44,Posted
4/8/2023,TCB*MTA METER MTA PBP,Debit Card,-3.5,38.94,Posted
4/10/2023,Mobile Check Deposit,Check Deposit,217.6,256.54,Posted
4/11/2023,BEST BUY,Direct Payment,-153.1,103.44,Posted
4/16/2023,To Savings - 3552,Withdrawal,-100,3.44,Posted
4/20/2023,CITY OF SM PARKPAYBYPH,Debit Card,-0.1,2.61,Posted
4/20/2023,CITY OF SM PARKPAYBYPH,Debit Card,-0.63,2.71,Posted
4/20/2023,CITY OF SM PARKPAYBYPH,Debit Card,-0.1,3.34,Posted
4/26/2023,From Savings - 3552,Deposit,50,52.61,Posted
4/27/2023,BEST BUY,Direct Payment,-49.32,3.29,Posted
4/28/2023,From Savings - 3552,Deposit,200,203.29,Posted
4/30/2023,Interest earned,Interest Earned,0.06,53.35,Posted
4/30/2023,Cash App,Debit Card,-150,53.29,Posted
5/10/2023,From Savings - 3552,Deposit,30,83.35,Posted
5/12/2023,Nintendo CB980593250,Debit Card,-69.99,13.36,Posted
5/14/2023,CITY OF SM PARKPAYBYPH,Debit Card,-0.75,12.61,Posted
5/15/2023,TCB*MTA METER MTA PBP,Debit Card,-3.5,-0.64,Posted
5/15/2023,TCB*MTA METER MTA PBP,Debit Card,-3.25,2.86,Posted
5/15/2023,TCB*MTA METER MTA PBP,Debit Card,-0.5,6.11,Posted
5/15/2023,TCB*MTA METER MTA PBP,Debit Card,-0.75,6.61,Posted
5/15/2023,TCB*MTA METER MTA PBP,Debit Card,-3.5,7.36,Posted
5/15/2023,TCB*MTA METER MTA PBP,Debit Card,-1.75,10.86,Posted
5/20/2023,From Savings - 3552,Deposit,325,324.36,Posted
5/22/2023,BEST BUY,Direct Payment,-321.07,3.29,Posted
5/23/2023,TCB*MTA METER MTA PBP,Debit Card,-2.25,1.04,Posted
5/31/2023,Interest earned,Interest Earned,0.07,691.11,Posted
5/31/2023,From Savings - 3552,Deposit,690,691.04,Posted
6/1/2023,Synchrony Bank,Direct Payment,-681.49,9.62,Posted
6/2/2023,AIRALO,Debit Card,-4.5,5.12,Posted
6/17/2023,From Savings - 3552,Deposit,20,5.12,Posted
6/17/2023,CASH APP*CYANFACE,Debit Card,-20,-14.88,Posted
